City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
644,Puerto Ayacucho,VE,78.15,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
645,Pundaguitan,PH,80.46,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
651,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
654,Bilma,NE,81.25,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
658,Necochea,AR,80.49,clear sky,-38.5473,-58.7368,dyd -mar Hotel
660,Mayumba,GA,77.65,overcast clouds,-3.432,10.6554,LIKWALE LODGE
664,Limbang,MY,80.6,broken clouds,4.75,115.0,Purnama Hotel
665,Tomatlan,MX,87.94,broken clouds,19.9333,-105.25,Norma franco
666,Vao,NC,75.87,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
667,Gizo,SB,81.55,moderate rain,-8.103,156.8419,Imagination Island
