City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
252,Narsaq,GL,60.9167,-46.05,23.0,46,75,5.75,broken clouds
253,Hervey Bay,AU,-25.2986,152.8535,73.99,83,90,4.61,overcast clouds
254,Fort Nelson,CA,58.8053,-122.7002,12.2,67,40,4.7,light snow
255,Novopokrovka,UA,49.8425,36.5477,33.8,75,90,13.42,light snow
256,Grand-Santi,GF,4.25,-54.3833,84.07,69,88,4.16,light rain
257,Carauari,BR,-4.8828,-66.8958,82.11,70,98,2.53,overcast clouds
258,Chokurdakh,RU,70.6333,147.9167,-21.48,99,100,6.33,overcast clouds
259,Sabha,LY,27.0377,14.4283,58.68,24,0,10.13,clear sky
260,Cortes,ES,41.9395,-1.4396,68.0,19,5,4.61,clear sky
261,Bilibino,RU,68.0546,166.4372,-1.57,99,100,1.68,overcast clouds
262,Port Arthur,CN,38.8,121.2667,39.2,93,0,2.24,mist
263,Puerto Lopez,CO,4.0845,-72.956,79.57,77,100,2.21,overcast clouds
264,San Policarpo,PH,12.1791,125.5072,79.47,83,97,12.37,overcast clouds
265,San Cristobal,VE,7.7669,-72.225,84.2,70,40,9.22,scattered clouds
266,Dengzhou,CN,37.8086,120.7508,44.96,71,0,7.18,clear sky
267,Taoudenni,ML,22.6783,-3.9836,81.68,7,0,14.5,clear sky
268,Stromness,GB,58.965,-3.296,44.6,76,40,20.71,scattered clouds
269,Flinders,AU,-34.5833,150.8552,69.01,70,27,5.01,scattered clouds
270,Bandarbeyla,SO,9.4942,50.8122,78.24,60,0,8.34,clear sky
271,Esna,EG,25.2934,32.554,71.6,26,1,13.8,sand
272,Hammerfest,NO,70.6634,23.6821,39.2,65,75,10.36,broken clouds
273,Jiuquan,CN,39.7432,98.5174,48.9,13,58,12.66,broken clouds
274,Sompeta,IN,18.9333,84.6,80.44,54,4,8.68,clear sky
275,Christchurch,NZ,-43.5333,172.6333,55.0,93,99,5.75,overcast clouds
276,Araouane,ML,18.9048,-3.5265,86.2,5,2,15.61,clear sky
