City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Kiunga,PG,2021-03-24 17:27:26,-6.1219,141.2906,71.98,97,99,1.61
231,Mitu,CO,2021-03-24 17:27:27,1.1983,-70.1733,87.66,52,63,3.38
232,Beringovskiy,RU,2021-03-24 17:27:27,63.05,179.3167,10.33,95,100,2.15
233,Broome,US,2021-03-24 17:27:28,42.2506,-75.833,53.01,93,90,16.11
234,Yurgamysh,RU,2021-03-24 17:27:28,55.3714,64.4656,26.37,91,56,11.81
235,Saldanha,ZA,2021-03-24 17:27:28,-33.0117,17.9442,84.2,34,16,5.75
236,Lagoa,PT,2021-03-24 17:17:39,39.05,-27.9833,55.94,57,18,2.86
237,Ouricuri,BR,2021-03-24 17:27:29,-7.8825,-40.0817,93.78,29,18,8.19
238,Alice Springs,AU,2021-03-24 17:27:29,-23.7,133.8833,64.4,94,11,6.8
239,Lambarene,GA,2021-03-24 17:27:29,-0.7001,10.2406,77.23,89,83,6.89
240,Chama,CH,2021-03-24 17:27:29,47.1821,8.4636,57.2,41,34,2.3
241,Chapais,CA,2021-03-24 17:17:44,49.7834,-74.8492,44.6,45,75,8.05
242,Coihaique,CL,2021-03-24 17:27:30,-45.5752,-72.0662,55.4,47,0,4.61
243,Upington,ZA,2021-03-24 17:24:14,-28.4478,21.2561,69.8,64,20,12.66
244,Namibe,AO,2021-03-24 17:27:30,-15.1961,12.1522,74.26,81,94,14.05
245,Kivsharivka,UA,2021-03-24 17:27:30,49.6213,37.7036,33.31,97,100,17.31
246,Morrope,PE,2021-03-24 17:27:30,-6.5417,-80.0111,88.0,61,0,6.91
247,Fare,PF,2021-03-24 17:23:10,-16.7,-151.0167,82.78,74,42,22.24
248,Hirado,JP,2021-03-24 17:27:31,33.3597,129.5531,59.0,39,100,2.98
249,Sechura,PE,2021-03-24 17:27:31,-5.5569,-80.8222,81.75,53,92,6.62
250,East Massapequa,US,2021-03-24 17:27:31,40.6734,-73.4365,60.01,63,20,16.11
251,Shirokiy,RU,2021-03-24 17:27:32,49.758,129.523,23.2,60,6,6.35
252,Poso,ID,2021-03-24 17:27:32,-1.3959,120.7524,81.0,77,98,4.34
253,Dicabisagan,PH,2021-03-24 17:18:27,17.0818,122.4157,75.49,87,8,2.89
254,Bekhtery,UA,2021-03-24 17:27:32,46.251,32.2927,35.6,93,75,11.18
255,Aksarka,RU,2021-03-24 17:27:33,66.5606,67.7975,15.17,94,99,8.25
256,Kibondo,TZ,2021-03-24 17:27:33,-3.5864,30.7203,62.06,88,96,0.63
257,Niquelandia,BR,2021-03-24 17:25:07,-14.4739,-48.4597,85.71,45,75,7.11
258,Kulhudhuffushi,MV,2021-03-24 17:27:33,6.6221,73.07,83.77,67,98,8.32
259,Foki,RU,2021-03-24 17:27:34,56.693,54.3499,27.16,91,100,8.08
